Bit-Aliasing: 48.24%
Average Reliability: 95.937147%
Maximum Reliability: Chip 178 with 98.25%
Minimum Reliability: Chip 40 with 93.46%

Reliability of each PUF instance:
Chip 1: 96.22%
Chip 2: 96.44%
Chip 3: 96.63%
Chip 4: 95.29%
Chip 5: 95.72%
Chip 6: 98.01%
Chip 7: 97.25%
Chip 8: 95.25%
Chip 9: 94.70%
Chip 10: 94.14%
Chip 11: 97.29%
Chip 12: 97.06%
Chip 13: 94.70%
Chip 14: 95.23%
Chip 15: 95.21%
Chip 16: 96.85%
Chip 17: 96.42%
Chip 18: 95.89%
Chip 19: 95.02%
Chip 20: 96.05%
Chip 21: 96.16%
Chip 22: 96.65%
Chip 23: 97.39%
Chip 24: 96.03%
Chip 25: 95.74%
Chip 26: 95.91%
Chip 27: 97.43%
Chip 28: 95.93%
Chip 29: 95.48%
Chip 30: 95.23%
Chip 31: 96.20%
Chip 32: 94.24%
Chip 33: 95.85%
Chip 34: 96.53%
Chip 35: 96.42%
Chip 36: 96.57%
Chip 37: 97.16%
Chip 38: 95.42%
Chip 39: 94.59%
Chip 40: 93.46%
Chip 41: 96.18%
Chip 42: 97.31%
Chip 43: 94.94%
Chip 44: 95.42%
Chip 45: 95.85%
Chip 46: 96.88%
Chip 47: 93.61%
Chip 48: 96.07%
Chip 49: 96.09%
Chip 50: 94.70%
Chip 51: 95.42%
Chip 52: 96.55%
Chip 53: 96.03%
Chip 54: 96.11%
Chip 55: 94.88%
Chip 56: 94.94%
Chip 57: 95.21%
Chip 58: 95.93%
Chip 59: 95.13%
Chip 60: 96.46%
Chip 61: 95.35%
Chip 62: 96.75%
Chip 63: 96.75%
Chip 64: 94.39%
Chip 65: 95.81%
Chip 66: 95.56%
Chip 67: 96.90%
Chip 68: 96.77%
Chip 69: 95.21%
Chip 70: 95.15%
Chip 71: 96.55%
Chip 72: 97.53%
Chip 73: 95.85%
Chip 74: 94.86%
Chip 75: 96.20%
Chip 76: 95.17%
Chip 77: 95.46%
Chip 78: 94.84%
Chip 79: 96.81%
Chip 80: 96.55%
Chip 81: 95.50%
Chip 82: 93.91%
Chip 83: 95.33%
Chip 84: 95.42%
Chip 85: 94.98%
Chip 86: 95.35%
Chip 87: 96.07%
Chip 88: 95.85%
Chip 89: 95.19%
Chip 90: 95.95%
Chip 91: 95.89%
Chip 92: 95.66%
Chip 93: 95.83%
Chip 94: 97.16%
Chip 95: 95.81%
Chip 96: 95.15%
Chip 97: 95.70%
Chip 98: 96.83%
Chip 99: 95.52%
Chip 100: 96.90%
Chip 101: 96.20%
Chip 102: 97.49%
